Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
0,2007-10-05,32.54542541503906,35.424693329871594,26.90012004829192,29.05148348598712,855215656
1,2007-10-08,30.879323959350586,33.64536052774602,30.68521528319679,33.64536052774602,126671715
2,2007-10-09,32.98217010498047,33.27333102819074,29.229417128249786,30.895508777439975,116725709
3,2007-10-10,33.28950119018555,33.96887948189164,32.99834031886197,33.839472943776364,67931378
4,2007-10-11,37.00990676879883,38.82158101766896,32.99834518139679,38.82158101766896,106320954
5,2007-10-12,36.76727294921875,38.14220367043771,35.90996408298535,36.233477193860395,99410791
6,2007-10-15,37.25254821777344,37.7539962477967,36.929035058246704,37.52753528095677,41814972
7,2007-10-16,41.05381774902344,41.70084829693079,37.0422564347305,37.30106514355186,138614496
8,2007-10-17,44.25661849975586,45.291858138136426,34.324759011891686,36.88051468514176,204876259
9,2007-10-18,42.70372772216797,48.34903171683244,40.875880023641976,44.96831887841198,146617799
10,2007-10-19,42.558162689208984,44.28895877280891,40.439149103294625,41.73320159377269,110266491
11,2007-10-22,41.99201202392578,43.302238331097136,40.60090305337393,41.70085110987962,72253405
12,2007-10-23,44.98451614379883,45.388907592335194,43.027258900125965,43.027258900125965,74594921
13,2007-10-24,44.28894805908203,46.42413502944351,43.787500207568094,45.93886107497698,63055170
14,2007-10-25,44.191898345947266,45.2271420031388,39.0318627353921,42.78461550780248,34522489
15,2007-10-26,45.51830291748047,46.246207379950434,43.755154797660126,44.96832890177674,62370025
16,2007-10-29,46.44032287597656,47.5564449694438,46.035931449057685,46.26239240330338,43657697
17,2007-10-30,47.47555923461914,48.75343331041353,45.6800589480765,47.07116787115375,79921711
18,2007-10-31,48.46227264404297,49.52986848158515,47.556437740607606,47.71819428678729,44655368
19,2007-11-01,47.37851333618164,50.03132303264523,46.99030017265182,49.659283772122784,50632492
20,2007-11-02,48.23581314086914,48.52697844288558,45.29184303635139,45.663886613833,32001693
21,2007-11-05,49.22251892089844,50.30628842961258,47.9122885400615,48.203453772198294,38833135
22,2007-11-06,49.86956024169922,53.023813193798766,49.190181805199956,50.07984289425368,81880281
